drive name,time,left_enc,right_enc,euler_x,euler_y,euler_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
sample_drive_3,2020-05-31 17:32:57.118328,0,0,359.9375,0.625,87.9375,-4.75,-43.375,15.1875,0.12,9.39,0.31,0.0,0.0,0.0
sample_drive_3,2020-05-31 17:32:59.138923,37,-37,13.3125,-0.4375,88.5625,0.375,-25.875,8.0,0.07,9.72,0.12,0.6875,-6.625,0.6875
sample_drive_3,2020-05-31 17:33:01.155708,124,-124,49.3125,-0.5,86.6875,16.0,-25.25,0.25,-0.46,9.44,0.49,-1.0625,-0.0625,-2.8125
sample_drive_3,2020-05-31 17:33:03.170607,253,-253,94.0625,-0.625,86.125,13.0625,-25.5,-13.1875,0.11,9.04,0.52,-6.875,-6.0,-1.875
sample_drive_3,2020-05-31 17:33:05.191005,398,-395,134.1875,-0.6875,85.9375,4.0625,-24.1875,-20.25,-1.05,10.3,-0.32,1.125,-77.9375,-5.5625
sample_drive_3,2020-05-31 17:33:07.207827,513,-511,162.625,0.5625,86.4375,-7.0625,-25.0,-21.0,0.13,9.33,0.41,-0.1875,0.0,-0.0625
sample_drive_3,2020-05-31 17:33:09.225878,422,-421,129.8125,0.6875,87.25,4.5,-23.875,-21.0625,0.83,9.21,0.24,0.75,1.25,0.875
sample_drive_3,2020-05-31 17:33:11.243274,250,-249,69.4375,1.6875,87.625,17.75,-25.6875,-7.6875,0.13,9.37,0.32,0.0625,-0.125,0.1875
sample_drive_3,2020-05-31 17:33:13.259146,-11,13,337.875,2.6875,87.5,3.25,-27.0,17.1875,0.22,9.37,0.29,0.0,0.125,0.0
sample_drive_3,2020-05-31 17:33:15.275858,-11,13,338.5,2.0,87.9375,4.0,-27.0,16.0625,0.23,9.32,0.24,-0.125,-0.0625,0.0
sample_drive_3,2020-05-31 17:33:17.293752,-11,13,338.5,2.0,87.9375,2.875,-27.6875,16.5,0.24,9.36,0.24,0.0,-0.0625,-0.0625
sample_drive_3,2020-05-31 17:33:19.309962,-11,13,338.5,2.0,87.9375,3.5625,-27.25,15.25,0.23,9.38,0.26,0.0,0.0625,0.0
sample_drive_3,2020-05-31 17:33:21.325868,-11,13,338.5,2.0,87.9375,3.5625,-26.5625,16.0625,0.23,9.39,0.27,-0.0625,-0.0625,0.0
sample_drive_3,2020-05-31 17:33:23.341790,-11,13,338.5,2.0,87.9375,2.5625,-26.5625,16.5,0.24,9.36,0.27,0.0,0.0,0.0625
sample_drive_3,2020-05-31 17:33:25.358667,-11,13,338.5,2.0,87.9375,3.5625,-27.0,17.1875,0.23,9.36,0.28,0.0625,0.25,0.0
